Data,Hora,Prefixo,Empresa,Área,Linha,Local,Perda,Latitude,Longitude,Notes,,,,,,,,,,,,,,,
1/12/14,20h55,31.372,Vip/Trasportes,3,2772/10,"Estr. Dom João Nery, 2465 - Jd.Nazaré",Perda Parcial,,,,,,,,,,,,,,,,,,
1/12/14,5:35,77.413,Transkuba,7,647A/10,"Rua Henrique San Mindlin,1.342 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
1/13/14,0:45,77.417,Transkuba,7,5175/10,"Av.Yervant Kissajikian,3.101-Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
1/13/14,23h15,72.577,Campo Belo,7,6835/41,"Rua Luar do Sertão, 665 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
1/15/14,21h10,62.498,Tupi,6,5175/10,"Av. Yervant Kissajikian, 3.101 - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
1/20/14,01h25,31.707,VIP/Transportes,3,Reservado,"Rua Cabo das Tormentas, S/N - Lajeado",Perda Parcial,,,,,,,,,,,,,,,,,,
1/21/14,00h06,31.551,VIP/Transportes,3,Reservado,"Rua Cabo das Tormentas, S/N - Lajeado",Perda Parcial,,,,,,,,,,,,,,,,,,
1/21/14,00h05,31.31,VIP/Transportes,3,Reservado,"Rua José Alves Coelho, S/N - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
1/22/14,17h03,31.538,VIP/Trasportes,3,2582/10,"Av. Doutor Assis Ribeiro, 7400 - Ermelino Matarazzo",Perda Parcial,,,,,,,,,,,,,,,,,,
1/23/14,18h00,74.608,VIP/Transportes,7,675Z/10,"Rua Padre Domingos Cunha, 163 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
1/23/14,17h50,72.757,Campo Belo,7,6835/10,"Rua Garcia Orta, s/nº - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
1/23/14,17h40,72.364,Campo Belo,7,6822/10,"Estrada de Pirajussara, 37 - Valo Velho",Perda Parcial,,,,,,,,,,,,,,,,,,
1/23/14,20h57,31.815,VIP/Transportes,3,2678/10,"Rua Itajuibe, 627 - Itaim Paulista",Perda Parcial,,,,,,,,,,,,,,,,,,
1/23/14,20h57,31.87,Vip/Trasportes,3,2582/10,"Rua Itajuibe, 627 - Itaim Paulista",Perda Total,,,,,,,,,,,,,,,,,,
1/23/14,22h25,72.389,Campo Belo,7,6824/10,"Rua Barcos Rabelo, s/nº - Jardim Irapiranga",Perda Parcial,,,,,,,,,,,,,,,,,,
1/25/14,05h30,81.899,Transppass,8,714C/10,"Rua Padre Jorge Benci, 153 - Jd. João XXIII",Perda Parcial,,,,,,,,,,,,,,,,,,
1/25/14,22h04,51.713,Via Sul,5,5110/10,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6.118 - Vila Ema",Perda Parcial,,,,,,,,,,,,,,,,,,
1/26/14,18h35,74.54,VIP/Transportes,7,7016/10,"Rua Colônia Nova, 315 - Jd. Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/26/14,20h00,51.806,Via Sul,5,4706/10,"Av. Nossa Senhora das Mercês, S/N - Vila das Mercês",Perda Parcial,,,,,,,,,,,,,,,,,,
1/27/14,21h42,74.269,VIP/Transportes,7,7016/10,"Rua Colonia Nova, 100 - Jardim Angela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/27/14,21h42,74.269,VIP/Transportes,7,7016/10,"Rua Colonia Nova, 100 - Jardim Angela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/28/14,22h10,73.663,VIP/Transportes,7,637A/10,"Estrada do M Boi Mirim, 4700 - Jardim Angela",Perda Total,,,,,,,,,,,,,,,,,,
1/25/14,22h04,51.713,Via Sul,5,5110/10,"Av. Prof. Luiz Ignácio de Anhaia Mello, 6.118 - Vila Ema",Perda Parcial,,,,,,,,,,,,,,,,,,
1/26/14,18h35,74.54,VIP/Transportes,7,7016/10,"Rua Colônia Nova, 315 - Jd. Ângela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/26/14,20h00,51.806,Via Sul,5,4706/10,"Av. Nossa Senhora das Mercês, S/N - Vila das Mercês",Perda Parcial,,,,,,,,,,,,,,,,,,
1/27/14,21h42,74.269,VIP/Transportes,7,7016/10,"Rua Colonia Nova, 100 - Jardim Angela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/28/14,22h10,73.663,VIP/Transportes,7,637A/10,"Estrada do M Boi Mirim, 4700 - Jardim Angela",Perda Total,,,,,,,,,,,,,,,,,,
1/28/14,22h15,31.261,VIP/Transportes,3,2080/10,"Rua Kemel Addas, 1000 Jardim Kemel",Perda Parcial,,,,,,,,,,,,,,,,,,
1/28/14,23h00,31.384,VIP/Transportes,3,2766/10,"Rua Engº Álvaro Cunha, 486 - Cidade Kemel",Perda Total,,,,,,,,,,,,,,,,,,
1/29/14,12h13,74.439,VIP/Transportes,7,6014/10,"Estrada do M Boi Mirim, 10.000 - Jardim Angela",Perda Parcial,,,,,,,,,,,,,,,,,,
1/29/14,20h32,33.261,VIP/Transportes,6,2522/10,"Rua Guabiroba de Minas, 307 - Lajeado",Perda Parcial,,,,,,,,,,,,,,,,,,
2/2/14,1h14,63.739,Mobibrasil,6,Reservado,"Av. Angelo Cristianini, 1300 - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
2/2/14,23h50,63.525,Mobibrasil,6,6358/10,"Praça Herculana Ribeira da Silva, s/n - Cidade Ademar",Perda Parcial,,,,,,,,,,,,,,,,,,
2/4/14,23h45,31.626,VIP/Transportes,3,1178/10,"Av.Dr. Assis Ribeiro, 7758 - Ermelino Matarazzo",Perda Total,,,,,,,,,,,,,,,,,,
2/6/14,00h50,72.151,Campo Belo,7,6804/10,"Av. Silvio Ribeiro do Aragão, 777 - Campo Belo",Perda Total,,,,,,,,,,,,,,,,,,
2/9/14,05h00,81.021,Transppass,8,702C/10,"Rua Pastor Miguel Damiani, s/nº Jardim Bonfiglioli",Perda Parcial,,,,,,,,,,,,,,,,,,
2/10/14,13h05,22.159,Sambaíba,2,971V/10,"Ru Ibiraiaras, 862 - Jd.Vista Alegre",Perda Parcial,,,,,,,,,,,,,,,,,,
2/10/14,13h50,22.003,Sambaíba,2,209P/10,"Av. Inajar de Souza, 4711 - Limão",Perda Total,,,,,,,,,,,,,,,,,,
2/11/14,22h20,11.205,Santa Brígida,1,8047/41,"Estrada Turística do Jaraguá, 2600 - Jaraguá",Perda Parcial,,,,,,,,,,,,,,,,,,
2/12/14,23H05,72.58,Campo Belo,7,6817/10,"Rua João Robalo, 472 - Capão Redondo",Perda Parcial,,,,,,,,,,,,,,,,,,
2/23/14,20h37,11.288,Santa Brígida,1,8047/10,"Rua Aleixos Jafet, 2766 - Jaraguá",Perda Parcial,,,,,,,,,,,,,,,,,,
2/26/14,00h02,31.619,VIP/Transportes,3,2582/10,"Av. Celso Garcia, 5817 - Tatuapé",Perda Total,,,,,,,,,,,,,,,,,,
3/21/14,20h30,74.235,VIP/Transportes,7,7004/10,"Estrada do M´Boi Mirim, 10557 - Jardim Capela",Perda Parcial,,,,,,,,,,,,,,,,,,
3/21/14,20h31,81.855,Transppass,8,7903/10,"Rua José Porfirio de Souza, 25 - Cohab Educandário",Perda Parcial,,,,,,,,,,,,,,,,,,
3/22/14,20h32,33.32,VIP/Transportes,3,253F/10,"Av. Jacu Pessego, s/nº Gleba do Pessego",Perda Parcial,,,,,,,,,,,,,,,,,,
3/23/14,20h33,74.235,Sambaíba,2,971V/10,"Rua Ibiraiaras, sn - Jardim Vista Alegre",Perda Total,,,,,,,,,,,,,,,,,,
3/29/14,20h34,63.788,Mobibrasil,6,5129/10,"Av. Cupece, 4100 - Jardim Miriam",Perda Parcial,,,,,,,,,,,,,,,,,,
3/29/14,20h35,72.765,Campo Belo,7,7059/10,"Av.Carlos Lacerda, 1900 - Campo Limpo",Perda Total,,,,,,,,,,,,,,,,,,
3/29/14,20h36,64.261,VIP/Transportes,6,607C/10,"Av. Cupece, 4790 - Jardim Miriam",Perda Total,,,,,,,,,,,,,,,,,,
3/31/14,20h37,72.956,Campo Belo,7,809P/10,"Av. Carlos Lacerda, 1886 - Pirajussara",Perda Parcial,,,,,,,,,,,,,,,,,,
3/31/14,20h38,72.579,Campo Belo,7,6816/10,"Av. Vila Nova Pirajussara, s/n - Pirajussara",Perda Total,,,,,,,,,,,,,,,,,,
4/3/14,20h39,12.791,Gato Preto,1,9162/10,"Av. Dep.Cantidio Sampaio, 1952 - Jd. Almanara",Perda Total,,,,,,,,,,,,,,,,,,
4/6/14,20h41,53.709,Via Sul,5,5026/10,"Rua Francesco Usper, 650 - Conj. Hab. Teotonio Vilela",Perda Parcial,,,,,,,,,,,,,,,,,,
4/20/14,20h42,44.09,Express,4,312N/10,"Estr. Dom João Nery, 3.339 - Jd. Nazaré",Perda Parcial,,,,,,,,,,,,,,,,,,
4/21/14,20h43,22.798,Sambaíba,2,1783/10,"Av. Cel. Sezefredo Fagundes, 19.447 - Tremembé",Perda Parcial,,,,,,,,,,,,,,,,,,
4/21/14,20h44,32.394,VIP/Transportes,3,2501/10,"Rua Catarina Alvares, 704 - Ermelino matarazzo",Perda Parcial,,,,,,,,,,,,,,,,,,
4/22/14,20h46,11.596,Santa Brígida,1,9012/10,"Av. Pe. OrlandoGarcia da Silveira, 60 - Brasilândia",Perda Parcial,,,,,,,,,,,,,,,,,,
4/23/14,20h47,72.908,Campo Belo,7,5318/10,Pça. Manoel Maiotti - Chácara Santana,Perda Parcial,,,,,,,,,,,,,,,,,,
5/8/14,20h48,52.519,Via Sul,5,5110/10,"Av. Prof. Luiz Ignácio de Anhaia Mello, 9.843 - Vila Ema",Perda Total,,,,,,,,,,,,,,,,,,
5/12/14,23h30,64.257,VIP/Transportes,6,509J/10,"Av. Yervant Kissajikian, 1.629 - Cidade Ademar",5,,,,,,,,,,,,,,,,,,
5/14/01,20h50,63.674,Mobibrasil,6,546L/10,"Av. Yervant Kissajikian, 2.514 - Americanópolis",Perda Total,,,,,,,,,,,,,,,,,,
5/19/14,20h51,72.752,Campo Belo,7,6803/10,"Rua Luiz Antônio Verney, 311 - Jd. São Luiz",Perda Parcial,,,,,,,,,,,,,,,,,,
5/20/14,20h52,21.121,Sambaíba,2,971V/10,"Av. Cruzeiro do Sul, 3.200 - Santana",Perda Total,,,,,,,,,,,,,,,,,,
5/20/14,20h53,61.688,Cidade Dutra,6,637G/10,"Av. Dona Belmira Marin, 2.605 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
5/20/14,20h54,61.613,Cidade Dutra,6,Cidade Dutra,"Av. Dona Belmira Marin, 3.900 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
5/20/14,20h55,61.728,Cidade Dutra,6,675G/10,"Av. Dona Belmira Marin, 2.567 - Grajaú",Perda Parcial,,,,,,,,,,,,,,,,,,
